# Time(days) Flux(e/s)
3312.862857 1.131626
3312.865172 1.128704
3312.867487 1.128243
3312.869802 1.124310
3312.872117 1.120455
3312.874431 1.119410
3312.876746 1.114957
3312.879061 1.107134
3312.881376 1.102664
3312.883691 1.090078
3312.886005 1.086167
3312.888320 1.074526
3312.890635 1.069293
3312.892950 1.059228
3312.895265 1.049090
3312.897579 1.036961
3312.899894 1.031420
3312.902209 1.017136
3312.904524 1.005463
3312.906839 0.994930
3312.909153 0.981214
3312.911468 0.963896
3312.913783 0.943349
3312.916098 0.929624
3312.918413 0.902770
3312.920727 0.883274
3312.923042 0.865835
3312.925357 0.842504
3312.927672 0.819399
3312.929987 0.799999
3312.932302 0.791323
3312.934616 0.784521
3312.936931 0.785994
3312.939246 0.782425
3312.941561 0.780206
3312.943876 0.781442
3312.946190 0.783930
3312.948505 0.780585
3312.950820 0.778682
3312.953135 0.779698
3312.955450 0.786039
3312.957764 0.780429
3312.962394 0.776270
3312.964709 0.786970
3312.967024 0.780198
3312.969338 0.800513
3312.971653 0.819059
3312.973968 0.838383
3312.976283 0.861612
3312.978598 0.887532
3312.980912 0.904197
3312.983227 0.923241
3312.985542 0.945451
3312.987857 0.968947
3312.990172 0.986187
3312.992486 1.002551
3312.994801 1.020625
3312.997116 1.028994
3312.999431 1.039940
3313.001746 1.053357
3313.004060 1.064740
3313.006375 1.075049
3313.008690 1.080419
3313.011005 1.088245
3313.013320 1.111932
3313.015635 1.116245
3313.017949 1.115111
3313.020264 1.126506
3313.022579 1.132671
3313.024894 1.137781
3313.027209 1.144583
3313.029523 1.141362
3313.031838 1.147031
3313.034153 1.148887
3313.036468 1.151956
3313.038783 1.156589
3313.041097 1.142054
3313.043412 1.150051
3313.045727 1.142507
3313.048042 1.138412
3313.050357 1.134991
3313.052671 1.126678
3313.054986 1.122064
3313.057301 1.112604
3313.059616 1.097307
3313.061931 1.092167
3313.064245 1.090363
3313.066560 1.079535
3313.068875 1.060090
3313.071190 1.048813
3313.073505 1.040510
3313.075819 1.023491
3313.078134 1.008590
3313.080449 0.983843
3313.082764 0.965728
3313.085079 0.959823
3313.087393 0.942797
3313.089708 0.917507
3313.092023 0.894453
3313.094338 0.869530
3313.096653 0.850273
3313.098968 0.825516
3313.101282 0.813024
3313.103597 0.806747
3313.105912 0.799065
3313.108227 0.798287
3313.110542 0.788234
3313.112856 0.787346
3313.115171 0.794412
3313.117486 0.789231
3313.119801 0.791711
3313.122116 0.787381
3313.124430 0.787854
3313.126745 0.791484
3313.129060 0.792536
3313.131375 0.794937
3313.133690 0.797994
3313.136004 0.804340
3313.138319 0.819722
3313.140634 0.836368
3313.142949 0.854672
3313.145264 0.868254
3313.147578 0.889858
3313.149893 0.912421
3313.152208 0.925155
3313.154523 0.941450
3313.156838 0.968352
3313.159152 0.985095
3313.161467 0.995215
3313.163782 1.010557
3313.166097 1.025791
3313.168412 1.034752
3313.170726 1.048748
3313.173041 1.059348
3313.175356 1.075461
3313.177671 1.082921
3313.179986 1.086338
3313.182300 1.097160
3313.184615 1.102926
3313.186930 1.110842
3313.189245 1.117270
3313.191560 1.117165
3313.193875 1.130016
3313.196189 1.125156
3313.198504 1.134844
3313.200819 1.132839
3313.203134 1.130906
3313.205449 1.134107
3313.207763 1.131557
3313.210078 1.128494
3313.212393 1.129070
3313.214708 1.115500
3313.217023 1.113206
3313.219337 1.111383
3313.221652 1.092488
3313.223967 1.092116
3313.226282 1.081830
3313.228597 1.077719
3313.230911 1.060559
3313.233226 1.061864
3313.235541 1.040672
3313.237856 1.039418
3313.240171 1.024251
3313.242485 1.016827
3313.244800 1.002431
3313.247115 0.989938
3313.249430 0.979505
3313.251745 0.959164
3313.254059 0.941527
3313.256374 0.923136
3313.258689 0.894537
3313.261004 0.873081
3313.263319 0.849839
3313.265633 0.830996
3313.267948 0.814761
3313.270263 0.794641
3313.272578 0.785874
3313.274893 0.783274
3313.277207 0.787724
3313.279522 0.783585
3313.281837 0.782483
3313.284152 0.781925
3313.286467 0.781893
3313.288782 0.782688
3313.291096 0.783208
3313.293411 0.780349
3313.295726 0.774964
3313.298041 0.784803
3313.300356 0.782246
3313.302670 0.781432
3313.304985 0.785746
3313.307300 0.789776
3313.309615 0.802365
3313.311930 0.827535
3313.314244 0.842392
3313.316559 0.869352
3313.318874 0.892147
3313.321189 0.914025
3313.323504 0.941647
3313.325818 0.959180
3313.328133 0.974528
3313.330448 0.992527
3313.332763 1.004464
3313.335078 1.021500
3313.337392 1.033241
3313.339707 1.047895
3313.342022 1.054817
3313.344337 1.069622
3313.346652 1.074533
3313.348966 1.090345
3313.351281 1.095847
3313.353596 1.105701
3313.355911 1.110629
3313.358226 1.126738
3313.360540 1.127331
3313.362855 1.138329
3313.365170 1.144212
3313.367485 1.144217
3313.369800 1.142701
3313.372114 1.152450
3313.374429 1.151146
3313.376744 1.156894
3313.379059 1.148835
3313.381374 1.157506
3313.383688 1.148893
3313.386003 1.146037
3313.388318 1.140180
3313.390633 1.135118
3313.392948 1.127471
3313.395262 1.121967
3313.397577 1.113145
3313.399892 1.099264
3313.402207 1.099249
3313.404522 1.084954
3313.406836 1.075268
3313.409151 1.064743
3313.411466 1.054551
3313.413781 1.028362
3313.416096 1.020751
3313.418411 1.011736
3313.420725 0.988619
3313.423040 0.968564
3313.425355 0.946571
3313.427670 0.931891
3313.429985 0.903538
3313.432299 0.886015
3313.434614 0.860829
3313.436929 0.848838
3313.439244 0.831729
3313.441559 0.802875
3313.443873 0.803982
3313.446188 0.805051
3313.448503 0.794559
3313.450818 0.805824
3313.453133 0.796881
3313.455447 0.800848
3313.457762 0.795948
3313.460077 0.797827
3313.462392 0.791751
3313.464707 0.791873
3313.467021 0.794063
3313.469336 0.795235
3313.471651 0.802099
3313.473966 0.796476
3313.476281 0.815577
3313.478595 0.835682
3313.480910 0.844239
3313.483225 0.858970
3313.485540 0.879834
3313.487855 0.896982
3313.490169 0.924428
3313.492484 0.941464
3313.494799 0.948879
3313.497114 0.972269
3313.499429 0.987574
3313.501743 1.009728
3313.504058 1.017848
3313.506373 1.037096
3313.508688 1.058813
3313.511003 1.054096
3313.513317 1.068976
3313.515632 1.084355
3313.517947 1.090728
3313.520262 1.099784
3313.522577 1.096188
3313.524891 1.113143
3313.527206 1.123217
3313.529521 1.122412
3313.531836 1.125738
3313.534151 1.134914
3313.536465 1.137956
3313.538780 1.140844
3313.541095 1.142614
3313.543410 1.140340
3313.545725 1.143851
3313.548039 1.138604
3313.550354 1.132100
3313.552669 1.125465
3313.554984 1.126094
3313.557299 1.116290
3313.559614 1.107109
3313.561928 1.115612
3313.564243 1.102573
3313.566558 1.090071
3313.568873 1.088710
3313.571188 1.068922
3313.573502 1.060834
3313.575817 1.060112
3313.578132 1.038088
3313.580447 1.036988
3313.582762 1.023696
3313.585076 1.009192
3313.587391 1.000055
3313.589706 0.978218
3313.592021 0.964419
3313.594336 0.957515
3313.596650 0.924847
3313.598965 0.900928
3313.601280 0.876824
